user,userStats,yearJoined
322,silver,2016
323,bronze,2017
324,bronze,2016
325,inactive,2015
326,bronze,2015
327,gold,2017
328,silver,2016
329,bronze,2018
330,bronze,2015
331,bronze,2017
332,silver,2016
333,gold,2014
334,bronze,2018
335,silver,2018
336,silver,2015
337,bronze,2018
338,bronze,2017
339,gold,2018
340,silver,2018
341,bronze,2017
342,silver,2018
343,silver,2017
344,silver,2018
345,bronze,2015
346,bronze,2018
347,silver,2018
348,inactive,2017
349,silver,2014
350,bronze,2018
351,bronze,2017
352,bronze,2017
353,inactive,2016
354,silver,2017
355,bronze,2016
356,bronze,2018
357,silver,2018
358,bronze,2017
359,gold,2014
360,bronze,2016
361,bronze,2018
362,silver,2016
363,silver,2018
364,bronze,2018
365,bronze,2018
366,bronze,2016
367,bronze,2018
368,silver,2018
369,silver,2014
370,bronze,2018
371,bronze,2018
372,bronze,2015
373,bronze,2018
374,bronze,2018
375,inactive,2016
376,silver,2017
377,silver,2018
378,bronze,2018
379,silver,2017
380,bronze,2016
381,gold,2017
382,silver,2017
383,silver,2017
384,inactive,2017
385,bronze,2017
386,silver,2015
387,silver,2018
388,bronze,2017
389,bronze,2018
390,silver,2014
391,bronze,2016
392,gold,2015
393,bronze,2016
394,bronze,2017
395,bronze,2018
396,gold,2014
397,bronze,2017
398,silver,2014
399,bronze,2015
400,bronze,2017
401,bronze,2018
402,bronze,2018
403,bronze,2018
404,bronze,2016
405,bronze,2017
406,bronze,2018
407,silver,2017
408,bronze,2018
409,bronze,2015
410,inactive,2017
411,inactive,2018
412,bronze,2017
413,silver,2017
414,silver,2017
415,bronze,2017
416,bronze,2017
417,silver,2014
418,bronze,2016
419,silver,2015
420,silver,2016
421,bronze,2018
422,silver,2018
423,bronze,2017
424,silver,2018
425,bronze,2018
426,bronze,2016
427,inactive,2016
428,silver,2018
429,bronze,2016
430,bronze,2017
431,inactive,2018
432,silver,2018
433,bronze,2018
434,gold,2018
435,gold,2017
436,silver,2017
437,silver,2014
438,bronze,2014
439,bronze,2018
440,inactive,2018
441,bronze,2017
442,gold,2018
443,inactive,2017
444,bronze,2018
445,bronze,2016
446,silver,2018
447,gold,2018
448,inactive,2017
449,bronze,2018
450,inactive,2017
451,bronze,2017
452,bronze,2017
453,silver,2016
454,bronze,2016
455,bronze,2018
456,inactive,2018
457,silver,2015
458,bronze,2017
459,bronze,2017
460,bronze,2018
461,bronze,2017
462,inactive,2017
463,bronze,2018
464,bronze,2017
465,gold,2017
466,silver,2018
467,silver,2017
468,inactive,2018
469,silver,2017
470,gold,2018
471,inactive,2018
472,gold,2014
473,bronze,2017
474,inactive,2017
475,silver,2017
476,bronze,2018
477,bronze,2018
478,gold,2014
479,inactive,2018
480,silver,2018
481,silver,2016
482,gold,2017
483,silver,2014
484,silver,2018
485,silver,2016
486,bronze,2017
487,gold,2018
488,gold,2014
489,silver,2018
490,silver,2015
491,bronze,2018
492,inactive,2018
493,bronze,2017
494,silver,2018
495,inactive,2016
496,bronze,2017
497,silver,2016
498,inactive,2017
499,bronze,2016
500,silver,2016
501,silver,2016
502,silver,2017
503,bronze,2017
504,bronze,2017
505,bronze,2018
506,bronze,2018
507,silver,2017
508,silver,2018
509,silver,2017
510,gold,2016
511,silver,2018
512,gold,2014
513,bronze,2018
514,silver,2018
515,silver,2017
516,bronze,2016
517,silver,2015
518,silver,2014
519,silver,2018
520,silver,2016
521,bronze,2017
522,bronze,2017
523,bronze,2017
524,silver,2016
525,bronze,2015
526,bronze,2015
527,bronze,2016
528,gold,2018
529,inactive,2018
530,silver,2015
531,silver,2016
532,silver,2018
533,silver,2017
534,bronze,2014
535,silver,2018
536,bronze,2018
537,bronze,2018
538,bronze,2016
539,bronze,2017
540,inactive,2017
541,silver,2016
542,bronze,2017
543,silver,2018
544,silver,2015
545,silver,2017
546,silver,2015
547,bronze,2017
548,silver,2014
549,inactive,2017
550,bronze,2017
551,bronze,2017
552,silver,2018
553,inactive,2018
554,silver,2016
555,silver,2018
556,bronze,2016
557,silver,2017
558,silver,2018
559,bronze,2016
560,silver,2016
561,silver,2016
562,silver,2017
563,silver,2016
564,inactive,2016
565,gold,2018
566,silver,2017
567,gold,2017
568,bronze,2018
569,bronze,2017
570,bronze,2018
571,silver,2015
572,bronze,2016
573,bronze,2017
574,bronze,2018
575,bronze,2017
576,silver,2018
577,bronze,2015
578,gold,2017
579,bronze,2016
580,bronze,2018
581,bronze,2014
582,silver,2018
583,gold,2017
584,silver,2018
585,silver,2018
586,silver,2014
587,gold,2017
588,bronze,2016
589,bronze,2017
590,silver,2017
591,silver,2018
592,bronze,2018
593,silver,2018
594,bronze,2014
595,silver,2018
596,silver,2017
597,bronze,2017
598,silver,2018
599,silver,2016
600,bronze,2018
601,silver,2017
602,silver,2015
603,inactive,2014
604,bronze,2018
605,bronze,2017
606,gold,2017
607,silver,2015
608,bronze,2018
609,bronze,2017
610,silver,2015
611,silver,2018
612,bronze,2018
613,bronze,2016
614,inactive,2018
615,bronze,2017
616,bronze,2015
617,bronze,2016
618,bronze,2017
619,silver,2017
620,silver,2018
621,silver,2018
622,bronze,2018
623,bronze,2018
624,silver,2018
625,bronze,2014
626,silver,2016
627,bronze,2016
628,bronze,2018
629,bronze,2018
630,silver,2018
631,bronze,2018
632,bronze,2018
633,silver,2016
634,inactive,2017
635,inactive,2018
636,bronze,2018
637,bronze,2016
638,bronze,2017
639,bronze,2017
640,silver,2015
641,bronze,2014
642,bronze,2017
643,bronze,2017
644,bronze,2017
645,bronze,2016
646,bronze,2018
647,bronze,2018
648,bronze,2014
649,gold,2018
650,bronze,2017
651,bronze,2016
652,bronze,2014
653,silver,2016
654,bronze,2018
655,bronze,2015
656,silver,2016
657,bronze,2015
658,silver,2014
659,bronze,2017
660,silver,2017
661,silver,2016
662,inactive,2016
663,bronze,2018
664,bronze,2015
665,silver,2015
666,bronze,2018
667,gold,2018
668,silver,2017
669,bronze,2017
670,silver,2016
671,bronze,2017
672,inactive,2017
673,bronze,2017
674,silver,2017
675,bronze,2018
676,silver,2018
677,inactive,2017
678,silver,2016
679,silver,2018
680,bronze,2017
681,bronze,2015
682,inactive,2015
683,bronze,2015
684,silver,2015
685,bronze,2017
686,silver,2018
687,silver,2016
688,bronze,2016
689,bronze,2018
690,bronze,2017
691,gold,2015
692,bronze,2014
693,inactive,2016
694,silver,2018
695,silver,2015
696,bronze,2017
697,silver,2018
698,bronze,2017
699,gold,2016
700,inactive,2016
701,gold,2018
702,silver,2016
703,bronze,2014
704,bronze,2018
705,silver,2014
706,bronze,2017
707,bronze,2018
708,bronze,2018
709,bronze,2018
710,bronze,2016
711,silver,2014
712,bronze,2017
713,bronze,2017
714,bronze,2015
715,bronze,2018
716,bronze,2018
717,bronze,2017
718,silver,2017
719,bronze,2015
720,silver,2018
721,bronze,2018
722,bronze,2018
723,bronze,2014
724,bronze,2018
725,silver,2018
726,gold,2014
727,inactive,2015
728,silver,2018
729,silver,2018
730,bronze,2016
731,inactive,2017
732,silver,2017
733,inactive,2018
734,silver,2017
735,bronze,2018
736,bronze,2018
737,bronze,2018
738,silver,2017
739,silver,2018
740,bronze,2018
741,silver,2015
742,bronze,2016
743,bronze,2017
744,bronze,2018
745,bronze,2017
746,silver,2015
747,bronze,2018
748,inactive,2017
749,silver,2017
750,bronze,2016
751,inactive,2018
752,silver,2018
753,bronze,2017
754,silver,2017
755,silver,2018
756,bronze,2018
757,silver,2014
758,bronze,2017
759,gold,2017
760,inactive,2016
761,silver,2017
762,bronze,2015
763,silver,2017
764,silver,2017
765,inactive,2018
766,bronze,2018
767,inactive,2014
768,bronze,2017
769,silver,2017
770,silver,2017
771,bronze,2018
772,bronze,2018
773,silver,2017
774,bronze,2017
775,bronze,2018
776,silver,2015
777,bronze,2018
778,bronze,2014
779,silver,2018
780,bronze,2017
781,bronze,2018
782,bronze,2018
783,silver,2018
784,silver,2017
785,silver,2018
786,silver,2015
787,bronze,2018
788,silver,2016
789,silver,2018
790,bronze,2018
791,silver,2017
792,silver,2017
793,bronze,2017
794,bronze,2018
795,gold,2018
796,bronze,2015
797,gold,2018
798,bronze,2018
799,bronze,2018
800,silver,2018
801,bronze,2017
802,silver,2017
803,silver,2018
804,bronze,2018
805,silver,2017
806,bronze,2016
807,inactive,2016
808,silver,2015
809,silver,2017
810,bronze,2018
811,bronze,2016
812,bronze,2017
813,silver,2014
814,silver,2018
815,gold,2017
816,bronze,2018
817,silver,2018
818,bronze,2015
819,gold,2018
820,silver,2018
821,bronze,2017
822,bronze,2015
823,bronze,2018
824,silver,2017
825,gold,2017
826,bronze,2014
827,bronze,2015
828,bronze,2018
829,silver,2017
830,silver,2017
831,gold,2018
832,silver,2017
833,bronze,2017
834,silver,2018
835,inactive,2017
836,bronze,2015
837,bronze,2018
838,gold,2015
839,gold,2016
840,bronze,2018
841,bronze,2017
842,silver,2017
843,silver,2018
844,bronze,2017
845,silver,2017
846,inactive,2016
847,silver,2018
848,silver,2018
849,bronze,2017
850,gold,2015
851,bronze,2018
852,inactive,2018
853,inactive,2018
854,bronze,2016
855,bronze,2015
856,silver,2018
857,bronze,2018
858,bronze,2018
859,bronze,2016
860,silver,2018
861,bronze,2018
862,bronze,2018
863,silver,2017
864,silver,2018
865,inactive,2018
866,inactive,2017
867,silver,2014
868,silver,2014
869,gold,2018
870,inactive,2018
871,gold,2016
872,bronze,2018
873,silver,2018
874,silver,2016
875,silver,2017
876,bronze,2016
877,bronze,2018
878,bronze,2014
879,inactive,2017
880,bronze,2017
881,gold,2017
882,silver,2016
883,bronze,2016
884,inactive,2016
885,bronze,2017
886,silver,2018
887,inactive,2016
888,silver,2018
889,bronze,2017
890,silver,2018
891,bronze,2015
892,inactive,2018
893,bronze,2014
894,silver,2014
895,bronze,2017
896,gold,2014
897,bronze,2018
898,inactive,2018
899,silver,2014
900,bronze,2015
901,bronze,2018
902,bronze,2014
903,bronze,2016
904,bronze,2014
905,bronze,2018
906,silver,2017
907,inactive,2015
908,inactive,2015
909,gold,2018
910,bronze,2017
911,bronze,2018
912,gold,2017
913,bronze,2018
914,bronze,2018
915,inactive,2014
916,silver,2017
917,silver,2017
918,silver,2018
919,gold,2017
920,bronze,2016
921,gold,2017
922,silver,2018
923,silver,2016
924,bronze,2017
925,bronze,2015
926,bronze,2017
927,bronze,2018
928,bronze,2016
929,bronze,2014
930,bronze,2018
931,gold,2018
932,silver,2014
933,silver,2017
934,bronze,2018
935,inactive,2018
936,inactive,2018
937,inactive,2018
938,bronze,2017
939,bronze,2016
940,gold,2014
941,bronze,2014
942,silver,2018
943,bronze,2018
944,bronze,2017
945,silver,2017
946,silver,2018
947,silver,2016
948,bronze,2018
949,inactive,2016
950,bronze,2017
951,bronze,2016
952,gold,2018
953,bronze,2017
954,bronze,2016
955,gold,2017
956,silver,2016
957,silver,2018
958,bronze,2016
959,bronze,2015
960,bronze,2018
961,bronze,2018
962,silver,2018
963,bronze,2018
964,silver,2017
965,inactive,2015
966,bronze,2018
967,bronze,2018
968,bronze,2018
969,silver,2018
970,bronze,2017
971,bronze,2018
972,bronze,2018
973,bronze,2017
974,bronze,2018
975,silver,2018
976,silver,2017
977,silver,2014
978,gold,2015
979,bronze,2018
980,silver,2014
981,bronze,2017
982,bronze,2015
983,bronze,2018
984,silver,2017
985,inactive,2018
986,bronze,2018
987,gold,2016
988,bronze,2015
989,bronze,2015
990,silver,2017
991,silver,2016
992,silver,2014
993,gold,2017
994,bronze,2018
995,bronze,2016
996,bronze,2018
997,bronze,2018
998,bronze,2017
999,silver,2014
